CAN;Alberta;Camrose;Dinant High School;HighSchool;;
CAN;Alberta;Camrose;Hay Lakes High School;HighSchool;;
CAN;Alberta;Camrose;Killam High School;HighSchool;;
CAN;Alberta;Camrose;P.A.C.E. Outreach High School;HighSchool;;
CAN;Alberta;Camrose;Rosalind High School;HighSchool;;
CAN;Alberta;Camrose;Round Hill High School;HighSchool;;
CAN;Alberta;Canmore;Canmore High School;HighSchool;;
CAN;Alberta;Carbon;Carbon High School;HighSchool;;
CAN;Alberta;Cardston;Cardston High School;HighSchool;;
CAN;Alberta;Cardston;Cardston Junior High School;HighSchool;;
CAN;Alberta;Cardston;Glen-Hill Junior High School;HighSchool;;
CAN;Alberta;Cardston;Hill Spring High School;HighSchool;;
CAN;Alberta;Caroline;Caroline High School;HighSchool;;
CAN;Alberta;Caroline;Living Faith Christian High School;HighSchool;;
CAN;Alberta;Caroline;Madina 4 Junior High School;HighSchool;;
CAN;Alberta;Carstairs;Carstairs High School;HighSchool;;
CAN;Alberta;Carstairs;Sutherland High School;HighSchool;;
CAN;Alberta;Castor;Castor High School;HighSchool;;
CAN;Alberta;Castor;Castor Junior High School;HighSchool;;
CAN;Alberta;Castor;Theresetta High School;HighSchool;;
CAN;Alberta;Castor;Wetter High School;HighSchool;;
CAN;Alberta;Cayley;Cayley High School;HighSchool;;
CAN;Alberta;Cfb Medley;Athabasca High School;HighSchool;;
CAN;Alberta;Cfb Medley;Athabasca Junior High School;HighSchool;;
CAN;Alberta;Cfb Medley;Beaver River High School;HighSchool;;
CAN;Alberta;Chauvin;Dr. Folkins High School;HighSchool;;
CAN;Alberta;Chestermere;Chestermere High School;HighSchool;;
CAN;Alberta;Claresholm;Claresholm High School;HighSchool;;
CAN;Alberta;Claresholm;Granum Junior High School;HighSchool;;
CAN;Alberta;Claresholm;Stavely High School;HighSchool;;
CAN;Alberta;Claresholm;Stavely Junior High School;HighSchool;;
CAN;Alberta;Claresholm;Willow Creek Composite High School;HighSchool;;
CAN;Alberta;Clive;Clive High School;HighSchool;;
CAN;Alberta;Clive;John Paul High School;HighSchool;;
CAN;Alberta;Cluny;Cluny Bow Valley Sh High School;HighSchool;;
CAN;Alberta;Coaldale;Alberta Mennonite High School;HighSchool;;
CAN;Alberta;Coaldale;Coal Valley High School;HighSchool;;
CAN;Alberta;Coaldale;Coaldale High School;HighSchool;;
CAN;Alberta;Coaldale;Kate Andrews High School;HighSchool;;
CAN;Alberta;Coaldale;R. I. Baker High School;HighSchool;;
CAN;Alberta;Coaldale;R. I. Baker Junior High School;HighSchool;;
CAN;Alberta;Coalhurst;Coalhurst High School;HighSchool;;
CAN;Alberta;Cochrane;Bow Valley High School;HighSchool;;
CAN;Alberta;Cochrane;Cochrane High School;HighSchool;;
CAN;Alberta;Cochrane;Manachaban Junior High School;HighSchool;;
CAN;Alberta;Cold Lake;Assumption High School;HighSchool;;
CAN;Alberta;Cold Lake;Beaver High School;HighSchool;;
CAN;Alberta;Cold Lake;Beaver High School;HighSchool;;
CAN;Alberta;Cold Lake;St. Dominic's High School;HighSchool;;
CAN;Alberta;Coronation;Brownfield High School;HighSchool;;
CAN;Alberta;Coronation;Coronation Composite High School;HighSchool;;
CAN;Alberta;Coronation;Veteran High School;HighSchool;;
CAN;Alberta;Cowley;Cowley High School;HighSchool;;
CAN;Alberta;Cowley;Lundbreck High School;HighSchool;;
CAN;Alberta;Cremona;Cremona High School;HighSchool;;
CAN;Alberta;Crossfield;Murdoch High School;HighSchool;;
CAN;Alberta;Crowsnest Pass;Allen High School;HighSchool;;
CAN;Alberta;Crowsnest Pass;Coleman High School;HighSchool;;
CAN;Alberta;Crowsnest Pass;Crowsnest Consolidated High School;HighSchool;;
CAN;Alberta;Crowsnest Pass;Isabelle Sellon Junior High School;HighSchool;;
CAN;Alberta;Daysland;Bryan High School;HighSchool;;
CAN;Alberta;Daysland;Daysland High School;HighSchool;;
CAN;Alberta;Daysland;Delia High School;HighSchool;;
CAN;Alberta;Daysland;Donalda High School;HighSchool;;
CAN;Alberta;Del Bonita;Coutts High School;HighSchool;;
CAN;Alberta;Delburne;Delburne High School;HighSchool;;
CAN;Alberta;Derwent;Derwent High School;HighSchool;;
CAN;Alberta;Devon;Devon High School;HighSchool;;
CAN;Alberta;Devon;John Maland High School;HighSchool;;
CAN;Alberta;Dewberry;Dewberry High School;HighSchool;;
CAN;Alberta;Didsbury;Didsbury High School;HighSchool;;
CAN;Alberta;Didsbury;Trochu High School;HighSchool;;
CAN;Alberta;Dixonville;Cessford High School;HighSchool;;
CAN;Alberta;Dixonville;Dixonville High School;HighSchool;;
